Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Label
192.168.10.17-185.125.190.100-56622-80-6,192.168.10.17,56622,185.125.190.100,80,6,09/09/2026 08:54:12,57791,3,3,88,79,88,0,29.33,41.48,79,0,26.33,37.24,2889.72,103.82,11558.2,14045.6,29010.1,1.0,29282.1,14641.0,14617.9,29259.0,23.1,28780.9,14390.5,14389.5,28780.0,1.0,1,1,0,0,104,104,51.91,51.91,0,88,27.83,39.45,1556.14,1,2,0,2,5,0,0,0,1.0,27.83,29.33,26.33,3,88,3,79,64240,65535,1,40,BENIGN
192.168.10.17-185.125.190.100-56622-80-6,192.168.10.17,56622,185.125.190.100,80,6,09/09/2026 08:54:12,69,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0,29026.33,68.9,0.0,68.9,68.9,68.9,68.9,0.0,68.9,68.9,0,0,0,0,0,0,0,0,0,64,0,29026.33,0.0,0,0,0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,2,0,0,0,502,-1,0,32,BENIGN
192.168.10.19-185.125.190.101-47368-80-6,192.168.10.19,47368,185.125.190.101,80,6,09/09/2026 08:54:33,61513,3,3,88,79,88,0,29.33,41.48,79,0,26.33,37.24,2714.87,97.54,12302.6,14972.3,32050.1,1.2,32351.0,16175.5,16086.6,32262.1,88.9,29463.1,14731.5,14730.3,29461.9,1.2,1,1,0,0,104,104,48.77,48.77,0,88,27.83,39.45,1556.14,1,2,0,2,5,0,0,0,1.0,27.83,29.33,26.33,3,88,3,79,64240,65535,1,40,BENIGN
192.168.10.19-185.125.190.101-47368-80-6,192.168.10.19,47368,185.125.190.101,80,6,09/09/2026 08:54:33,123,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0,16256.99,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,123.0,0,0,0,0,0,0,0,0,0,64,0,16256.99,0.0,0,0,0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,2,0,0,0,502,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-48422-80-6,192.168.10.25,48422,192.168.10.51,80,6,09/09/2026 08:54:49,1553,5,3,92,231,92,0,18.4,36.8,231,0,77,108.89,207976.7,5151.13,221.9,181.5,514.0,71.0,1553.1,388.3,257.8,749.1,119.0,1265.0,632.5,140.4,773.0,492.1,1,1,0,0,168,104,3219.45,1931.67,0,231,40.38,78.09,6097.98,1,2,0,2,7,0,0,0,0.6,40.38,18.4,77.0,5,92,3,231,64240,65160,1,40,BENIGN
192.168.10.25-192.168.10.51-48408-80-6,192.168.10.25,48408,192.168.10.51,80,6,09/09/2026 08:54:49,2362,5,3,92,231,92,0,18.4,36.8,231,0,77,108.89,136747.77,3386.94,337.4,291.9,937.9,78.9,2362.0,590.5,372.6,1147.0,106.1,1713.0,856.5,81.4,937.9,775.1,1,1,0,0,168,104,2116.84,1270.1,0,231,40.38,78.09,6097.98,1,2,0,2,7,0,0,0,0.6,40.38,18.4,77.0,5,92,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-48422-6,192.168.10.51,80,192.168.10.25,48422,6,09/09/2026 08:54:49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.51-192.168.10.25-80-48408-6,192.168.10.51,80,192.168.10.25,48408,6,09/09/2026 08:54:49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-48436-80-6,192.168.10.25,48436,192.168.10.51,80,6,09/09/2026 08:54:50,1409,5,3,86,231,86,0,17.2,34.4,231,0,77,108.89,225011.74,5678.53,201.3,101.0,410.1,85.1,1408.8,352.2,240.5,736.0,85.1,783.0,391.5,18.6,410.1,372.9,1,1,0,0,168,104,3549.08,2129.45,0,231,39.62,77.62,6024.48,1,2,0,2,7,0,0,0,0.6,39.62,17.2,77.0,5,86,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-48436-6,192.168.10.51,80,192.168.10.25,48436,6,09/09/2026 08:54:50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
